index,Отзывы,Звузды,original
233,хороший удлинитель за эти деньги,5,Хороший удлинитель за эти деньги
234,"отлично подключила гирлянду, красота",5,"Отлично! Подключила гирлянду, красота!"
235,"рвботает, все норм",5,"Рвботает, всё норм"
236,"хороший удлинитель, работает спасибо",5,"Хороший удлинитель, работает. Спасибо"
237,"удлинитель рабочий, пришел быстро в день заказа",5,"Удлинитель рабочий, пришел быстро в день заказа"
238,"доставка быстрая, удлинитель работает",5,"Доставка быстрая, удлинитель работает"
239,"отличный рабочий удлинитель, заказала уже второй пригодиться",5,"Отличный рабочий удлинитель, заказала уже второй) Пригодиться!"
240,быстрая доставка большое спасибо товар пришел без брака,5,Быстрая доставка. Большое спасибо. Товар пришёл без брака.
241,"хороший, все работает, спасибо продавцу",5,"Хороший, все работает, спасибо продавцу"
242,все пришло целое удлинитель рабочий,5,Все пришло целое. Удлинитель рабочий
243,"хороший удлинитель , качественный , пахнет китайскими тапочками , но из чего сделано , тем и пахнет  резиной вполне себе качественно ",5,"Хороший удлинитель , качественный , пахнет китайскими тапочками , но из чего сделано , тем и пахнет ) резиной. Вполне себе качественно )"
244,"провод пришел хорошо упакован без повреждений , рекомендую",5,"Провод пришёл хорошо упакован без повреждений , рекомендую"
245,"заказала 3 метра, привезли 5 с браком не полностью припаян провод к вилке",3,"Заказала 3 метра, привезли 5 с браком. Не полностью припаян провод к вилке"
246,все хорошо удлинитель работает ,5,Всё хорошо. Удлинитель работает .
247,"все отлично, в соединении с гирляндой очень хорошее",5,"Все отлично, в соединении с гирляндой очень хорошее"
248,отличный удлинитель для герлянд,5,Отличный удлинитель для герлянд.
249,"все отлично, работает доставка быстрая",5,"Все отлично, работает. Доставка быстрая)"
250,"удлинитель хороший,все работаетдлина соответствует",5,"удлинитель хороший,всё работает.длина соответствует)"
251,"все подошло,как ожидали,спасибо большое",5,"Все подошло,как ожидали,спасибо большое"
252,все работает цена очень хорошая,5,Все работает .Цена очень хорошая
253,для малых напряжений подойдет и для этого заказывала очень довольна покупкой,5,Для малых напряжений подойдёт и для этого заказывала. Очень довольна покупкой
254,"удлинитель очень удобный, взяла несколько штук, все работают отлично спасибо",5,"Удлинитель очень удобный, взяла несколько штук, все работают отлично! Спасибо!"
255,"работает , но расчитан только для гирлянд, не для бытовых приборов",5,"Работает , но расчитан только для гирлянд, не для бытовых приборов"
256,"хороший, длинный , самое главное всегда необходимый",5,"Хороший, длинный , самое главное всегда необходимый!"
257,"рабочий, удобно если розетка далеко",5,"Рабочий, удобно если розетка далеко."
258,все отличнобыстрота и качество,5,Всё отлично!Быстрота и качество.
259,"все отлично, быстрая доставкарекомендую",5,"Всё отлично, быстрая доставка.рекомендую."
260,"все прекрасно работает , спасибо ",5,"Все прекрасно работает , спасибо. 🙂"
261,"работает, все отлично спасибо продавцу",5,"Работает, все отлично. Спасибо продавцу."
262,"хорошо работает, посмотрим на сколько хватит",5,"Хорошо работает, посмотрим на сколько хватит)"
263,"отличный удлинитель,взяла 2 штуки сразу",5,"Отличный удлинитель,взяла 2 штуки сразу."
264,"хороший удлинитель, буду заказывать еще",5,"Хороший удлинитель, буду заказывать еще."
265,"хороший удлинитель подключили к герлянде работает можно покупать, но применять в помещении",5,"Хороший удлинитель. Подключили к герлянде работает. Можно покупать, но применять в помещении."
266,все отлично рекомендую продавца,5,Всё отлично рекомендую продавца
267,"пришел быстро, в рабочем состоянии",5,"Пришел быстро, в рабочем состоянии."
268,"прекрасный удлинитель, все работает",5,"Прекрасный удлинитель, все работает!"
269,"пришел быстро, работает четко, длинный, удобный, невидимый рекомендую",4,"Пришел быстро, работает четко, длинный, удобный, невидимый. Рекомендую"
270,хороший и недорогой удлиннитель,5,Хороший и недорогой удлиннитель👋
271,"пришла рабочая, доставка бытрая",5,"Пришла рабочая, доставка бытрая"
272,"супер, теперь не надо удленнителей",5,"Супер, теперь не надо удленнителей."
273,такие же тонкие провода как и на гирлянде большие токи держать не будут но это без меня знаете работает нормально,5,Такие же тонкие провода как и на гирлянде. Большие токи держать не будут но это без меня знаете. Работает нормально
274,"все работает, хлюплый, но работает и цена радует",5,"Всё работает, хлюплый, но работает и цена радует"
275,удлинитель понравился работает,5,Удлинитель понравился работает
276,"ровный, крепкий, качество хорошее рекомендую",5,"Ровный, крепкий, качество хорошее. Рекомендую!👍"
277,"за свои деньги хороший удлинитель, брали 2, оба работают цена приятная, доставка быстрая",5,"За свои деньги хороший удлинитель, брали 2, оба работают. Цена приятная, доставка быстрая"
278,"спасибовсе отлично,все работает",5,"Спасибо.Все отлично,все работает."
279,"доставка быстрая, все отлично работает",5,"Доставка быстрая, все отлично работает"
280,"удлинитель рекомендую, все работает",5,"Удлинитель рекомендую, всё работает."
281,"прекрасно к гирлянде подходит интересно, а его можно использовать как обычный удлинитель",5,"Прекрасно к гирлянде подходит! Интересно, а его можно использовать как обычный удлинитель?"
282,"все пришло целое и в рабочем состоянии, спасибо",5,"Всё пришло целое и в рабочем состоянии, спасибо"
283,"хороший удлинитель, работает",5,"Хороший удлинитель, работает🔥🔥🔥"
284,"удлинитель отличный, пришел быстро, все работает спасибо продавцу",5,"Удлинитель отличный, пришел быстро, все работает! Спасибо продавцу)"
285,"отличный удлинитель, пришел быстро",5,"Отличный удлинитель, пришёл быстро"
286,"все ок, пришел исправный, соответствует описанию",5,"Все ок, пришел исправный, соответствует описанию"
287,"заказываем не первый разпришел в пакетике,рабочий",5,"Заказываем не первый раз))Пришёл в пакетике,рабочий))"
288,соответствует заявленным характеристикам,5,Соответствует заявленным характеристикам
289,нужная вещь в доме спасибо всем,5,Нужная вещь в доме. Спасибо всем👏
290,удлинитель хороший удлинили с помощью него гирлянду на шторе за 98 руб это вообще задаром,5,Удлинитель хороший👍 Удлинили с помощью него гирлянду на шторе) За 98 руб это вообще задаром👌
291,"хорошие удлинитель, заказывала 2 шт",5,"Хорошие удлинитель, заказывала 2 шт"
292,"рабочий удлинитель, доставка быстрая",5,"Рабочий удлинитель, доставка быстрая"
293,"все супер, удлинитель целый, очень быстро пришел спасибо",5,"Всё супер, удлинитель целый, очень быстро пришёл. Спасибо."
294,все работает доставка быстрая спасибо продавцу,5,Всё работает. Доставка быстрая. Спасибо продавцу.
295,"очень мне нравится такие удлинители ,очень удобные",5,"Очень мне нравится такие удлинители ,очень удобные"
296,"брала 2шт, все подошло, все работает,не воняют и цена прекрасная, благодарю",5,"Брала 2шт., всё подошло, всё работает,не воняют и цена прекрасная, благодарю!"
297,все работает спасибо большое ,5,Все работает спасибо большое 🤗
298,"все отлично, подошли к моим герляндам работают",5,"Все отлично, подошли к моим герляндам. Работают."
299,все супер заказывала для гирлянды,5,Всё супер заказывала для гирлянды
300,"добрый день удленитель супер, все целое, работает отлично, длина совпадает цена просто огонь большое спасибо",5,"Добрый день! Удленитель супер, все целое, работает отлично, длина совпадает. Цена просто огонь!!! Большое спасибо!"
301,"получила сразу брала 2 шт, соответствует описанию",5,"Получила. Сразу брала 2 шт, соответствует описанию."
302,"вместо 3 метрового прислали 5 метров, мне конечно столько не надо, но спасибо ",5,"Вместо 3 метрового прислали 5 метров, мне конечно столько не надо, но спасибо 😘!"
303,доставка быстрая все отлично,5,Доставка быстрая .Всё отлично.
304,"удлинитель рабочий, описанию соответствует",5,"Удлинитель рабочий, описанию соответствует"
305,"здравствуйте целый, работает доставлен был быстро спасибо",5,"Здравствуйте. Целый, работает. Доставлен был быстро. Спасибо."
306,"пришло быстро, все работает отлично, теперь не надо мучаться с удлинителями",5,"Пришло быстро, все работает отлично, теперь не надо мучаться с удлинителями👍"
307,"удлинитель работает, но только если не втыкать вилку до упора в розетку",4,"Удлинитель работает, но только если не втыкать вилку до упора в розетку"
308,"пришел рабочий, не отходит от розетки",5,"пришёл рабочий, не отходит от розетки"
309,"хороший удлинитель, покупала для звезды",5,"Хороший удлинитель, покупала для звезды."
310,спасибо большое за доставку и обслуживание,5,Спасибо большое за доставку и обслуживание.
311,свои рабочие функции выполняет,5,Свои рабочие функции выполняет
312,"заказывала три штуки все отлично работают,еще и по хорошей цене",5,"Заказывала три штуки все отлично работают,ещё и по хорошей цене"
313,работает нормально соответствует описанию,5,Работает нормально. Соответствует описанию
314,все отлично  покупали к гирлянде пришел рабочийуже наслаждаемся красивой гирляндой,5,Все отлично ! Покупали к гирлянде! Пришёл рабочий-уже наслаждаемся красивой гирляндой)
315,"спасибо большое, доставка быстрая в этот раз заказываю уже второй раз первый раз очень долго ждала",5,"Спасибо большое, доставка быстрая в этот раз!!! Заказываю уже второй раз. Первый раз очень долго ждала!!!"
316,"удлинитель работает, все хорошо, соединение отличное",5,"Удлинитель работает, все хорошо, соединение отличное."
317,"контакт немного отстает, когда вилку от гирлянды вставляешь а так рабочий",5,"Контакт немного отстаёт, когда вилку от гирлянды вставляешь. А так рабочий"
318,пришел горелыйэто нормально вобщеполучается вот такое качество у вашего товара,1,Пришел горелый...это нормально вобще?Получается вот такое качество у вашего товара?
319,"все работает, цена хорошая 77 р",5,"Все работает, цена хорошая 77 р"
320,"спасибо продавцу ,все отлично",5,"Спасибо продавцу ,Все отлично."
321,"пришло все в хорошем состоянии,работает нормально",5,"Пришло все в хорошем состоянии,работает нормально"
322,"включила гирлянду, обожгла палец",1,"Включила гирлянду, обожгла палец"
323,"все отлично,удлинитель пришел целый,ничего не пострадало,все работает прекрасно,буду брать еще",5,"Все отлично,удлинитель пришёл целый,ничего не пострадало,все работает прекрасно,буду брать ещё"
324,"товар отличный,только он немного в масле,но это не критично рекомендую",4,"Товар отличный,только он немного в масле,но это не критично. Рекомендую!!!"
325,"быстро доставили, упаковка не повреждена самое главное в рабочем состоянии",5,"Быстро доставили, упаковка не повреждена. Самое главное в рабочем состоянии!"
326,"все работает, путевая вещица, берите сразу несколько",5,"Все работает, путевая вещица, берите сразу несколько"
327,"все отлично, работаетспасибо",5,"Все отлично, работает.
Спасибо."
328,хороший удлинитель без повреждений все работает,5,Хороший удлинитель без повреждений все работает
329,"отличный удлинитель, гирляндышторы теперь работают везде и во всех комнатах,создавая красоту",5,"Отличный удлинитель, гирлянды-шторы теперь работают везде и во всех комнатах,создавая красоту"
330,"все целое, все работает купила 3 штуки спасибо",5,"Все целое, все работает. Купила 3 штуки. Спасибо."
331,"вроде пока работает,но запах не очень когда его включаешь",5,"Вроде пока работает,но запах не очень когда его включаешь"
332,спасибо большое ,5,Спасибо большое ❤️
333,"удлинитель невесомый , гибкий , незаметный  все ок",5,"УДЛИнИТЕЛЬ невесомый , гибкий , незаметный . Всё ок."
334,быстро доставили все отлично рекомендую,5,Быстро доставили. Все отлично. Рекомендую.
335,хороший удлинитель все работает,5,Хороший удлинитель. Все работает.
336,"удлинитель хороший, все подошло и работает",5,"Удлинитель хороший, все подошло и работает"
337,"хороший удлинитель, все работает, красиво и ярко, спасибо",5,"Хороший удлинитель, все работает, красиво и ярко, спасибо!"
338,"все отлично, рекомендую",5,"Все отлично, рекомендую"
339,быстро доставили все работает,5,Быстро доставили. Всё работает.
340,"удлинитель действительно хороший, советую",5,"Удлинитель действительно хороший, советую"
341,все хорошо доставка быстрая цена копеечная,5,Всё хорошо. Доставка быстрая. Цена копеечная
342,"цена отличная,все работаетспасибо",5,"Цена отличная,всё работает!Спасибо!"
343,"рабочие, спасибо доставка быстрая",5,"Рабочие, спасибо. Доставка быстрая."
344,"работает,спасибо заказывала 2",5,"Работает,спасибо. Заказывала 2."
345,"очень хлипкий, очень аккуратно надо обращаться, а так в принципе работает",4,"Очень хлипкий, очень аккуратно надо обращаться, а так в принципе работает"
346,все работает доставка вовремя рекомендую к покупке ,5,Все Работает доставка вовремя рекомендую к покупке 👍
347,"доставка быстрая от казани до мурома 1,5 дня сами удлинители сделаны качественно, не хлипкие за такую цену это просто подарок",5,"Доставка быстрая. От Казани до Мурома 1,5 дня. Сами удлинители сделаны качественно, не хлипкие. За такую цену это просто подарок"
348,"отличный удлинитель, еще три заказала",5,"Отличный удлинитель, еще три заказала"
349,гибкий тонкий провод все работает,5,Гибкий тонкий провод. Все работает
350,"удлинитель приехал неисправный понимаю, что стоимость не существенная, но когда в планах повесть гирлянду, настроение очень испортилось тем более, что брали не для себя",1,"Удлинитель приехал неисправный. Понимаю, что стоимость не существенная, но когда в планах повесть гирлянду, настроение очень испортилось. Тем более, что брали не для себя."
351,соответствует описанию все работает спасибо продавцу рекомендую,5,Соответствует описанию. Всё работает. Спасибо продавцу. Рекомендую.
352,купили гирляндуштору на окно очень короткий шнур до розетки не достает пришлось покупать удлинитель теперь все достает и все работает спасибо продавцу за удлинитель,5,Купили гирлянду-штору на окно- очень короткий шнур- до розетки не достаёт. Пришлось покупать удлинитель. Теперь всё достаёт и все работает. Спасибо продавцу за удлинитель!
353,"работает, спасибо  очень тонкий, не знаю сколько прослужит ",5,"Работает, спасибо ! Очень тонкий, не знаю сколько прослужит ))"
354,"удлиннитель тоненький, но работает отлично гирлянда горит взяла прозрачный он почти не заметен рекомендую",5,"Удлиннитель тоненький, но работает отлично. Гирлянда горит. Взяла прозрачный. Он почти не заметен. Рекомендую"
355,отличная цена и качество норм можно смело брать,5,Отличная цена и качество норм. Можно смело брать.
356,"спасибо все отлично, доставка супер быстрая, рекомендую",5,"Спасибо всё отлично, доставка супер быстрая, рекомендую."
357,"качественный удленитель, все работает",5,"Качественный удленитель, всё работает"
358,"удлинитель пришел быстро, все работает спасибо продавцу",5,"Удлинитель пришёл быстро, все работает. Спасибо продавцу!"
359,"вилка, атас просто, на фото все видно пожара на новый год не хватало видя это, зачем такой товар отправлять",1,"Вилка, АТАС просто, на фото всё видно.... Пожара на новый год не хватало.... Видя это, зачем такой товар отправлять...."
360,товар соответствует заявленномуспасибо,5,Товар соответствует заявленному.Спасибо.
361,удлинитель хороший быстрая доставка продавца рекомендую спасибо,5,Удлинитель хороший. Быстрая доставка. Продавца рекомендую. Спасибо.
362,"пришел целый хлипенький, как все дешевое",5,"Пришёл целый. Хлипенький, как всё дешевое"
363,удлинители хороший быстрая доставка,5,Удлинители хороший быстрая доставка
364,"все работает, то, что надо, потому что у гирлянды предназначенной для украшения окна короткий шнур",5,"Все работает, то, что надо, потому что у гирлянды предназначенной для украшения окна короткий шнур."
365,товар хороший соответствует размеру и стоит токих денег все целое и роботоит,5,Товар хороший соответствует размеру и стоит токих денег всё целое и роботоит.
366,товар отличный работает исправно,5,Товар отличный) работает исправно.
367,удлинитель отличный все работает советую,5,Удлинитель отличный👍👍👍 всё работает. Советую👍
368,"удлинитель пришел в рабочем состоянии, спасибо",5,"Удлинитель пришёл в рабочем состоянии, спасибо."
369,удлинитель хорошо упакован подошел к гирлянде штора отличный,5,Удлинитель хорошо упакован. Подошёл к гирлянде штора. Отличный.
370,супер пришел быстро и отлично работает,5,Супер! Пришел быстро и отлично работает!
371,долго добирался,4,Долго добирался.
372,"хороший удлинитель, работает исправно",5,"Хороший удлинитель, работает исправно"
373,это просто ужасв самом удленители отсуствует проводне советую покупать и тратить деньги,1,Это просто ужас!В самом удленители отсуствует провод:|Не советую покупать и тратить деньги.
374,"беру в третий раз все супер, спасибо",5,"Беру в третий раз все супер, спасибо"
375,"хороший удлинитель,работает,решил проблему с гирляндами,прозрачный, незаметен,спасибо производителю",5,"Хороший удлинитель,работает,решил проблему с гирляндами,прозрачный, незаметен,спасибо производителю"
376,"целый, рабочий, больше ничего не нужно",5,"Целый, рабочий, больше ничего не нужно"
377,"пока работает, досталась за 62р",5,"Пока работает, досталась за 62р"
378,"очень необходимая вещь,спасибо всем",5,"Очень необходимая вещь,спасибо всем."
379,все работает,5,Все работает
380,"все отлично подошло, работает",5,"Всё отлично подошло, работает."
381,"шнур целый, все хорошо спасибо, пользуемся",5,"Шнур целый, всё хорошо. Спасибо, пользуемся."
382,удлинитель хорошей все пришло в целости и сохранности,5,Удлинитель хорошей всё пришло в целости и сохранности
383,удлинитель почти невиден все внимание на гирлянду дотягивается до любой розетки,5,Удлинитель почти невиден. Все внимание на гирлянду. Дотягивается до любой розетки
384,"отличный удлинитель, все работает, брака нет, доставка быстрая",5,"Отличный удлинитель, все работает, брака нет, доставка быстрая"
385,"хороший удлинитель, все работает",5,"Хороший удлинитель, все работает!"
386,хороший удлинитель все работает,5,Хороший удлинитель. Все работает
387,"хороший удлинитель пришел, все работает",5,"Хороший удлинитель пришёл, все работает."
388,"отличный удлиннитель, подошел идеально рекомендую всем",5,"Отличный удлиннитель, подошёл идеально. Рекомендую всем"
389,свои функции выполняет и стоит недорого,5,Свои функции выполняет. И стоит недорого.
390,"очень рада, что работает полезная вещь доставка быстрая",5,"Очень рада, что работает. Полезная вещь. Доставка быстрая."
391,отличный удлинитель только доставка долгая,5,Отличный удлинитель! Только доставка долгая.
392,"пришло быстро, упакован хорошо, спасибо",5,"Пришло быстро, упакован хорошо, спасибо"
393,товар пришел в целости работает,5,Товар пришёл в целости. Работает.
394,"все отлично, упаковано в прозрачный пакетик, присутствовал запах свою функцию выполняет рекомендую",5,"Все отлично, упаковано в прозрачный пакетик, присутствовал запах. Свою функцию выполняет! Рекомендую"
395,отличный товар за 62 руб,5,Отличный товар за 62 руб
396,"все отлично,все работает,продавца рекомендую",5,"Все отлично,все работает,продавца рекомендую👍"
397,"хороший удлинитель,все работает",5,"Хороший удлинитель,все работает."
398,"очень хороший удлинитель ,советую",5,"👍очень хороший удлинитель ,советую."
399,"спасибо доставили быстро,посмотрим как в работе",5,"Спасибо доставили быстро,посмотрим как в работе."
400,"соответствует описанию, очень быстро доставили все работает, спасибо",5,"Соответствует описанию, очень быстро доставили. Все работает, спасибо"
401,хороший удленитель,5,Хороший удленитель
402,"хороший качественный товар, не подошел к моей гирлянде",5,"Хороший качественный товар, не подошёл к моей гирлянде"
403,все подошло,5,Всё подошло
404,хороший удлинитель как раз пригодился под гирлянду,5,Хороший удлинитель. Как раз пригодился под гирлянду
405,"заказали 2 шт,пришла одна вторая еще где то в доставке",5,"Заказали 2 шт,пришла одна. Вторая ещё где то в доставке"
406,"спасибо продавцу, быстрая отправка, удлинитель пришел в целости, сохранности, рабочий",5,"Спасибо продавцу, быстрая отправка, удлинитель пришел в целости, сохранности, рабочий"
407,"классно  к гирланде подошел, размеру соответствует",5,"Классно 🔥 к гирланде подошёл, размеру соответствует"
408,хороший удлинитель все работает спасибо,5,Хороший удлинитель. Все работает. Спасибо!
409,"неплохой удлинитель, но не наджно держиться гирлянда в разъме для нее",4,"Неплохой удлинитель, но не надëжно держиться гирлянда в разъëме для неё"
410,"пришло быстро, все хорошо работает",5,"Пришло быстро, все хорошо работает"
411,"спасибо, все в рабочем состоянии",5,"Спасибо, все в рабочем состоянии"
412,соответствует описанию,5,Соответствует описанию.
413,"сгорел через 2 часа использования, заискрился хорошо что рядом были",1,"Сгорел через 2 часа использования, заискрился(( Хорошо что рядом были"
414,хороший удлинитель рекомендую к покупке,5,Хороший удлинитель. Рекомендую к покупке
415,отличный удлинитель за такую цену ,5,Отличный удлинитель за такую цену 🔥🔥🔥
416,"работает,обычный провод,не тонкий не надо тянуть переноски,и цена супер,купила за 62 руб, спасибо за быструю доставку ",5,"Работает,обычный провод,не тонкий! Не надо тянуть переноски,и цена супер,купила за 62 руб, спасибо за быструю доставку 😊"
417,"очень удобная штука, не нужно тянуть удлинитель",5,"Очень удобная штука, не нужно тянуть удлинитель."
418,"хиленький, тоненький, но за 62р вполне себе запашок , естественно, присутствует но за такие деньги ожидать чегото иного нет смысла, поэтому я доволена спасибо",5,"Хиленький, тоненький, но за 62р вполне себе. Запашок , естественно, присутствует. Но за такие деньги ожидать чего-то иного нет смысла, поэтому я доволена. Спасибо."
419,"нормальный удлинитель, все работает",5,"Нормальный удлинитель, всё работает"
420,около идеальна хорошее качество,5,Около идеальна. Хорошее качество.
421,"пригодился, как никогда, кстати",5,"Пригодился, как никогда, кстати))"
422,"все прекрасно работает, удобная штука",5,"Всё прекрасно работает, удобная штука!"
423,отличный шнур,5,Отличный шнур
424,"хороший удлинитель, все работает",5,"Хороший удлинитель, все работает!"
425,"удлинитель хороший, только доставка долгая была",5,"Удлинитель хороший, только доставка долгая была"
426,"отличный удлинитель, все подошло спасибо",5,"Отличный удлинитель, все подошло) Спасибо."
427,"отличный, работает как раз то, что нужно",5,"Отличный, работает. Как раз то, что нужно."
428,"удлинитель пришел целый, все работает",5,"Удлинитель пришел целый, все работает"
429,"все целое, работает, рекомендую",5,"Все целое, работает, рекомендую!"
430,"все целое, спасибо продавцу, заказала еще один",5,"Все целое, спасибо продавцу, заказала еще один"
431,"пришли удлинители быстро,хорошего качества",5,"Пришли удлинители быстро,хорошего качества"
432,"полностью соответствует описанию, отличный товар рекомендую",5,"Полностью соответствует описанию, отличный товар. Рекомендую."
433,"удлинитель хороший, работает все в порядке но запах надеюсь скоро выветрится",5,"Удлинитель хороший, работает всё в порядке. Но запах!!! Надеюсь скоро выветрится"
434,"удлинитель брала на 3 метра за 62 р пришел в хорошем качестве, без повреждений работает спасибо",5,"Удлинитель брала на 3 метра за 62 р. Пришёл в хорошем качестве, без повреждений. Работает. Спасибо"
435,"подходит для гирлянды, легкий и не тянет вниз",5,"Подходит для гирлянды, лёгкий и не тянет вниз"
436,"все работает, доставка вовремя спасибо",5,"Все работает, доставка вовремя. Спасибо"
437,"все отлично, удлинитель работает пришел быстро и целый",5,"Все отлично, удлинитель работает. Пришёл быстро и целый."
438,отличный удлинитель остались довольныспасибо продавцу,5,"Отличный удлинитель 👍👍👍остались довольны!
Спасибо продавцу"
439,"заказ пришел быстро,все работает рекомендую",5,"Заказ пришёл быстро,все работает. Рекомендую"
440,"рабочий, но доставка очень долгая",5,"Рабочий, но доставка очень долгая"
441,хороший удлинитель рекомендую ,5,Хороший удлинитель! Рекомендую 👍😊
442,"незаменимая штука под новый год, все работает",5,"Незаменимая штука под новый год, все работает)"
443,"супер, все работает урвала по 55 рублей",5,"Супер, все работает) урвала по 55 рублей)"
444,"все работает подключила гирлянду, хожу радуюсь",5,"Все работает. Подключила гирлянду, хожу радуюсь."
445,"пришло все в целом все и работает от лично ,спасибо за доставку",5,"Пришло все в целом все и работает от лично ,спасибо за доставку😇🥰"
446,все работает супер теперь можно покупать гирлянды любой длины,5,Все работает! Супер! Теперь можно покупать гирлянды любой длины.
447,пришел с задержкой работает спасибо,5,Пришел с задержкой.... Работает. Спасибо
448,брала 2шт товар пришел целый удлинители работают благодарю,5,Брала 2шт. Товар пришёл целый. Удлинители работают. Благодарю.
449,хороший удлинитель за отличные деньги,5,Хороший удлинитель за отличные деньги!)
450,"рабочий, легкий, для новогодних гирлянд просто незаменим",5,"Рабочий, легкий, для новогодних гирлянд просто незаменим"
451,"хороший удлинитель за приемлемую цену, забрала и сразу проверила, все работает спасибо",5,"Хороший удлинитель за приемлемую цену, забрала и сразу проверила, всё работает. Спасибо"
452,товар соответствует быстро нашли и выдали,5,Товар соответствует. Быстро нашли и выдали.
453,"все работает, переходник нормальный",5,"Всё работает, переходник нормальный"
454,отличный удлинитель спасибо продавцу,5,Отличный удлинитель. Спасибо продавцу❤
455,"все прекрасно работает, визуально не заметный",5,"Все прекрасно работает, визуально не заметный👌🏼"
456,удлинитель внешне без изъянов при подключении гирлянды все работает,5,Удлинитель внешне без изъянов. При подключении гирлянды все работает.
457,"удлинитель пришел быстро, рабочий",5,"Удлинитель пришел быстро, рабочий."
